City_ID,city,lat,lng,max temp,Humidity,Cloudiness,wind speed,Weather description,country
0,Isangel,-19.55,169.2667,77.54,82,7,5.23,clear sky,VU
1,Upernavik,72.7868,-56.1549,40.57,93,100,4.76,light rain,GL
2,Mataura,-46.1927,168.8643,42.48,85,41,3.31,scattered clouds,NZ
3,Cherskiy,68.75,161.3,49.8,65,0,6.02,clear sky,RU
4,Torbay,47.6666,-52.7314,64.76,92,75,8.05,broken clouds,CA
5,Cape Town,-33.9258,18.4232,50.27,66,0,2.3,clear sky,ZA
6,Atuona,-9.8,-139.0333,77.07,77,46,11.79,scattered clouds,PF
7,Ushuaia,-54.8,-68.3,40.62,87,40,20.71,scattered clouds,AR
8,Sudak,44.85,34.9667,72.21,57,20,5.55,few clouds,UA
9,Yar-Sale,66.8333,70.8333,49.64,91,94,18.12,overcast clouds,RU
10,Mbarara,-0.608,30.65,66.94,55,19,2.21,few clouds,UG
11,Bredasdorp,-34.5322,20.0403,51.12,76,0,12.66,clear sky,ZA
12,Longyearbyen,78.2186,15.6401,44.44,87,75,8.05,broken clouds,SJ
13,Yatou,37.15,122.3833,73.33,76,36,3.11,scattered clouds,CN
14,Rikitea,-23.1203,-134.9692,71.42,64,98,16.33,overcast clouds,PF
15,Aklavik,68.2191,-135.0107,62.42,52,99,1.79,overcast clouds,CA
16,Vardo,70.3705,31.1107,46.6,81,100,34.61,overcast clouds,NO
17,Khatanga,71.9667,102.5,50.81,81,24,6.8,few clouds,RU
18,West Bay,19.3667,-81.4167,89.06,74,91,3.0,overcast clouds,KY
19,Bluff,-46.6,168.3333,42.8,84,74,11.54,broken clouds,NZ
20,Severo-Kurilsk,50.6789,156.125,55.22,93,94,7.29,overcast clouds,RU
21,Kodiak,57.79,-152.4072,54.91,88,90,12.66,moderate rain,US
22,Faanui,-16.4833,-151.75,78.22,67,8,15.77,clear sky,PF
23,Kajaani,64.2273,27.7285,53.65,71,0,8.05,clear sky,FI
24,Nokaneng,-19.6667,22.2667,47.46,17,0,7.61,clear sky,BW
25,Hermanus,-34.4187,19.2345,48.9,76,0,12.44,clear sky,ZA
26,Tiksi,71.6872,128.8694,43.05,87,97,5.19,overcast clouds,RU
27,Swellendam,-34.0226,20.4417,50.38,60,0,6.82,clear sky,ZA
28,Ivaipora,-24.2478,-51.6847,61.66,64,0,4.09,clear sky,BR
29,Cabo San Lucas,22.8909,-109.9124,98.62,65,0,10.2,clear sky,MX
30,Currais Novos,-6.2608,-36.5178,76.06,68,78,18.54,broken clouds,BR
31,Dikson,73.5069,80.5464,44.11,71,99,13.18,overcast clouds,RU
32,Punta Arenas,-53.15,-70.9167,41.02,81,0,21.85,light rain,CL
33,Birnin Kebbi,12.4539,4.1975,76.33,84,100,15.57,light rain,NG
34,Dicabisagan,17.0818,122.4157,81.82,77,100,6.38,overcast clouds,PH
35,Sinnamary,5.3833,-52.95,80.4,84,82,12.73,broken clouds,GF
36,Hobart,-42.8794,147.3294,45.27,84,40,4.0,scattered clouds,AU
37,Sao Joao Da Barra,-21.6403,-41.0511,73.49,66,0,8.88,clear sky,BR
38,Provideniya,64.3833,-173.3,53.04,64,41,7.36,scattered clouds,RU
39,Avarua,-21.2078,-159.775,77.05,73,2,6.91,clear sky,CK
40,Mahebourg,-20.4081,57.7,70.09,83,75,12.66,light intensity shower rain,MU
41,Arraial Do Cabo,-22.9661,-42.0278,71.56,64,0,17.27,clear sky,BR
42,Constitucion,-35.3333,-72.4167,57.27,74,100,10.13,overcast clouds,CL
43,Adrar,20.5022,-10.0711,96.17,17,15,9.6,few clouds,MR
44,Itarema,-2.9248,-39.9167,79.11,75,8,16.17,clear sky,BR
45,Port Hedland,-20.3167,118.5667,64.45,42,2,6.91,clear sky,AU
46,Port Alfred,-33.5906,26.891,53.26,66,100,4.12,light rain,ZA
47,Hilo,19.7297,-155.09,89.28,93,71,4.0,light rain,US
48,Hailar,49.2,119.7,63.77,78,100,8.59,overcast clouds,CN
49,Ribera,37.4984,13.2642,77.4,44,0,5.88,clear sky,IT
50,New Norfolk,-42.7826,147.0587,44.92,81,70,3.22,broken clouds,AU
51,Talnakh,69.4865,88.3972,58.66,68,100,16.24,overcast clouds,RU
52,Rio Grande,-32.035,-52.0986,61.34,79,2,6.44,clear sky,BR
53,Tiznit,29.5833,-9.5,93.96,22,96,0.85,overcast clouds,MA
54,Antofagasta,-23.65,-70.4,58.28,74,88,5.12,overcast clouds,CL
55,Saint-Joseph,-21.3667,55.6167,66.58,70,17,6.67,few clouds,RE
56,Cockburn Town,21.4612,-71.1419,85.96,66,40,11.5,scattered clouds,TC
57,Marawi,7.9986,124.2928,71.65,88,99,6.13,overcast clouds,PH
58,Dandong,40.1292,124.3947,72.16,86,91,2.33,overcast clouds,CN
59,Bengkulu,-3.8004,102.2655,74.89,85,57,3.67,broken clouds,ID
60,Balabac,7.9868,117.0645,83.41,82,90,16.96,overcast clouds,PH
61,Hay River,60.8156,-115.7999,69.71,55,73,11.18,light rain,CA
62,Saint-Philippe,-21.3585,55.7679,67.59,72,33,7.67,scattered clouds,RE
63,Otradnoye,59.7775,30.8181,61.97,65,92,3.29,overcast clouds,RU
64,Albany,42.6001,-73.9662,76.93,61,64,6.93,broken clouds,US
65,Lebu,-37.6167,-73.65,51.76,79,100,18.41,overcast clouds,CL
66,Ponta Do Sol,32.6667,-17.1,73.71,74,1,6.93,clear sky,PT
67,Axim,4.8699,-2.2405,75.11,82,87,7.2,overcast clouds,GH
68,Acarau,-2.8856,-40.12,79.54,74,8,17.54,clear sky,BR
69,Havre-Saint-Pierre,50.2334,-63.5986,59.0,100,90,5.75,mist,CA
70,Anjiang,27.3194,110.1031,73.92,94,70,2.48,broken clouds,CN
71,Tuktoyaktuk,69.4541,-133.0374,55.4,67,75,11.5,broken clouds,CA
72,Abu Zabad,12.35,29.25,83.3,52,84,7.14,light rain,SD
73,North Tonawanda,43.0387,-78.8642,81.21,47,0,5.01,clear sky,US
74,Esperance,-33.8667,121.9,46.24,77,66,24.05,broken clouds,AU
75,Shelbyville,35.4834,-86.4603,90.68,56,20,3.0,few clouds,US
76,Ancud,-41.8697,-73.8203,49.53,69,91,7.56,overcast clouds,CL
77,Lima,-12.0432,-77.0282,62.85,72,90,9.22,overcast clouds,PE
78,Smithers,54.7804,-127.1743,59.94,61,96,4.14,overcast clouds,CA
79,Veraval,20.9,70.3667,82.31,83,98,17.92,overcast clouds,IN
80,Minnedosa,50.2453,-99.8436,83.43,19,0,13.27,clear sky,CA
81,Jamestown,42.097,-79.2353,78.12,57,75,3.0,broken clouds,US
82,Port Elizabeth,-33.918,25.5701,46.09,93,40,4.61,scattered clouds,ZA
83,Saint Anthony,45.0205,-93.218,92.86,25,60,12.62,broken clouds,US
84,Moyuta,14.0386,-90.0808,74.98,57,100,4.52,overcast clouds,GT
85,Bethel,41.3712,-73.414,82.09,53,75,1.01,broken clouds,US
86,Hithadhoo,-0.6,73.0833,82.17,77,100,12.71,overcast clouds,MV
87,Nanchang,28.6833,115.8833,76.08,92,16,7.76,few clouds,CN
88,Cacoal,-11.4386,-61.4472,94.96,22,0,5.28,clear sky,BR
89,Banda Aceh,5.5577,95.3222,80.44,79,100,12.66,overcast clouds,ID
90,Mattru,7.6244,-11.8332,72.81,97,100,5.46,light rain,SL
91,Castro,-24.7911,-50.0119,57.47,70,0,2.35,clear sky,BR
92,Belaya Gora,68.5333,146.4167,57.42,46,98,7.85,overcast clouds,RU
93,Sitka,57.0531,-135.33,57.09,88,90,10.36,light rain,US
94,Ghanzi,-21.5667,21.7833,43.09,25,0,7.47,clear sky,BW
95,Acari,-15.4311,-74.6158,70.0,63,5,7.16,clear sky,PE
96,Pitimbu,-7.4706,-34.8086,75.36,83,23,15.01,few clouds,BR
97,Mubi,10.2676,13.2644,69.35,92,36,2.91,scattered clouds,NG
98,Phan Thiet,10.9333,108.1,77.13,90,100,10.42,overcast clouds,VN
99,Thompson,55.7435,-97.8558,71.76,35,75,25.32,broken clouds,CA
100,San Ramon,37.7799,-121.978,99.09,37,3,10.0,clear sky,US
101,Qaanaaq,77.484,-69.3632,43.74,56,21,2.93,few clouds,GL
102,Busselton,-33.65,115.3333,48.09,61,99,14.5,overcast clouds,AU
103,Willowmore,-33.2926,23.4895,37.09,87,6,7.47,clear sky,ZA
104,Carnarvon,-24.8667,113.6333,59.07,67,80,12.66,broken clouds,AU
105,Iqaluit,63.7506,-68.5145,51.53,87,90,8.01,light rain,CA
106,Wanaka,-44.7,169.15,33.12,99,7,1.01,clear sky,NZ
107,Alta Floresta,-9.8756,-56.0861,94.82,24,20,9.22,few clouds,BR
108,Kapaa,22.0752,-159.319,80.47,70,26,5.01,light rain,US
109,Georgetown,5.4112,100.3354,82.89,85,20,3.0,moderate rain,MY
110,Saldanha,-33.0117,17.9442,50.54,66,0,9.82,clear sky,ZA
111,Butaritari,3.0707,172.7902,83.91,73,51,16.04,broken clouds,KI
112,Pevek,69.7008,170.3133,38.91,89,100,7.61,light rain,RU
113,Puerto Ayora,-0.7393,-90.3518,80.56,85,97,5.99,overcast clouds,EC
114,Camacha,33.0833,-16.3333,68.76,78,20,13.8,few clouds,PT
115,Basco,20.4487,121.9702,84.61,79,100,34.02,overcast clouds,PH
116,Adilabad,19.6667,78.5333,74.28,84,96,8.03,moderate rain,IN
117,Codrington,-38.2667,141.9667,48.16,89,100,21.36,light rain,AU
118,Nanortalik,60.1432,-45.2371,43.38,84,40,11.1,scattered clouds,GL
119,Nuevo Progreso,23.1667,-97.95,92.59,60,33,11.01,scattered clouds,MX
120,East London,-33.0153,27.9116,53.35,66,94,3.69,light rain,ZA
121,Mecca,21.4267,39.8261,87.46,56,91,4.36,overcast clouds,SA
122,Okha,53.5739,142.9478,59.86,96,99,9.89,overcast clouds,RU
123,Sao Felix Do Xingu,-6.6447,-51.995,86.2,34,9,2.59,clear sky,BR
124,Ribeira Grande,38.5167,-28.7,73.8,88,75,12.66,broken clouds,PT
125,Beringovskiy,63.05,179.3167,53.13,81,100,5.03,light rain,RU
126,Lloret De Mar,41.6999,2.8457,83.5,90,59,5.66,broken clouds,ES
127,Galveston,29.3669,-94.9669,97.18,73,3,4.0,clear sky,US
128,Saint-Pierre,-21.3393,55.4781,67.68,64,20,8.05,few clouds,RE
129,Buta,2.7858,24.73,72.07,88,100,2.13,light rain,CD
130,Klaksvik,62.2266,-6.589,50.92,91,97,16.98,overcast clouds,FO
131,Paita,-5.0892,-81.1144,69.3,75,20,21.9,few clouds,PE
132,Maniitsoq,65.4167,-52.9,41.32,97,100,18.66,moderate rain,GL
133,Sioux Lookout,50.1001,-91.917,77.38,33,79,9.8,broken clouds,CA
134,Clyde River,70.4692,-68.5914,39.43,81,75,24.16,broken clouds,CA
135,Newark,40.7357,-74.1724,85.96,42,40,5.75,scattered clouds,US
136,La Ronge,55.1001,-105.2842,64.62,68,90,24.16,overcast clouds,CA
137,Kavieng,-2.5744,150.7967,82.17,79,16,14.83,light rain,PG
138,Yaring,6.8662,101.3689,79.11,83,100,5.03,overcast clouds,TH
139,Honiara,-9.4333,159.95,79.36,81,99,3.42,overcast clouds,SB
140,Muros,42.7762,-9.0603,66.09,87,31,7.85,scattered clouds,ES
141,Kemijarvi,66.7131,27.4306,46.53,77,97,4.88,overcast clouds,FI
142,Pombia,45.653,8.6336,81.12,73,0,2.3,clear sky,IT
143,Namibe,-15.1961,12.1522,65.41,92,16,4.94,few clouds,AO
144,Samana,19.2056,-69.3369,83.73,74,72,9.73,broken clouds,DO
145,Airai,-8.9266,125.4092,56.25,35,11,3.31,few clouds,TL
146,Kushima,31.4583,131.2333,77.74,91,100,12.95,overcast clouds,JP
147,Pierre,44.3683,-100.351,102.99,6,53,3.0,broken clouds,US
148,Taksimo,56.3444,114.8794,59.09,94,100,4.34,light rain,RU
149,Pombas,17.1503,-25.0201,74.98,75,48,12.57,scattered clouds,CV
150,Tuatapere,-46.1333,167.6833,42.82,89,52,5.68,broken clouds,NZ
151,Pucara,-15.9803,-71.4606,43.81,36,70,12.93,broken clouds,PE
152,Zhaotong,27.3167,103.7167,62.38,95,100,1.12,overcast clouds,CN
153,Bandarbeyla,9.4942,50.8122,76.78,82,23,35.81,few clouds,SO
154,Salalah,17.0151,54.0924,77.47,97,100,9.86,overcast clouds,OM
155,Vaini,-21.2,-175.2,75.36,94,40,3.44,scattered clouds,TO
156,Iskateley,67.6803,53.1512,44.22,83,99,5.5,overcast clouds,RU
157,Sarahan,31.5167,77.8,64.94,87,75,2.04,broken clouds,IN
158,Sao Pedro Do Sul,-29.6206,-54.1789,66.65,75,0,4.43,clear sky,BR
159,Cap Malheureux,-19.9842,57.6142,70.29,76,40,1.99,scattered clouds,MU
160,Leh,34.1667,77.5833,64.54,51,16,4.74,few clouds,IN
161,Rach Gia,10.0167,105.0833,78.75,80,76,16.24,broken clouds,VN
162,Yellowknife,62.456,-114.3525,76.32,64,75,3.0,smoke,CA
163,Rivne,50.6231,26.2274,61.84,65,100,4.21,overcast clouds,UA
164,Chone,-0.6833,-80.1,81.45,67,76,10.78,broken clouds,EC
165,Rio Formoso,-8.6636,-35.1586,75.16,84,25,8.1,scattered clouds,BR
166,Deputatskiy,69.3,139.9,53.69,64,94,4.25,overcast clouds,RU
167,Lanzhou,36.0564,103.7922,72.7,74,0,3.33,clear sky,CN
168,Mujiayingzi,42.1167,118.7833,68.63,84,66,6.85,broken clouds,CN
169,Barrow,71.2906,-156.7887,35.35,89,100,12.82,light rain,US
170,Guerrero Negro,27.9769,-114.0611,83.59,51,25,14.65,scattered clouds,MX
171,Kruisfontein,-34.0033,24.7314,43.88,77,41,5.1,scattered clouds,ZA
172,Dunedin,-45.8742,170.5036,50.81,71,30,3.87,scattered clouds,NZ
173,Qianan,44.9932,124.0581,73.26,70,4,12.95,clear sky,CN
174,Praia,14.9215,-23.5087,75.74,69,20,14.97,few clouds,CV
175,Andros Town,24.7,-77.7667,84.07,72,100,13.53,overcast clouds,BS
176,Khislavichi,54.1871,32.1582,57.25,92,25,5.14,light rain,RU
177,Corralillo,22.9819,-80.5856,86.49,64,16,15.14,few clouds,CU
178,Tabou,4.423,-7.3528,75.7,74,85,7.78,overcast clouds,CI
179,Geraldton,-28.7667,114.6,56.12,93,75,3.44,broken clouds,AU
180,Nome,64.5011,-165.4064,52.16,79,91,11.12,overcast clouds,US
181,Asau,46.4333,26.4,62.4,84,19,3.09,few clouds,RO
182,Shenjiamen,29.9576,122.298,78.51,90,100,23.09,light rain,CN
183,Odweyne,9.4092,45.064,72.37,59,98,11.99,overcast clouds,SO
