City_ID,city,lat,lng,max_temp,Humidity,Cloudiness,Wind Speed
0,Santa Rosalia,27.3167,-112.2833,87.21,54,56,2.59
1,Fuzhou,26.0614,119.3061,79.52,88,100,3.15
2,Ushuaia,-54.8,-68.3,38.86,75,20,5.75
3,Faanui,-16.4833,-151.75,78.66,77,100,23.02
4,Muros,42.7762,-9.0603,67.08,83,7,3.53
5,Hobart,-42.8794,147.3294,48.11,82,75,6.91
6,Chuy,-33.6971,-53.4616,44.98,87,22,6.55
7,Lasa,46.6166,10.7002,62.37,85,19,3.78
8,Puerto Ayora,-0.7393,-90.3518,73.54,90,88,5.99
9,Krutikha,53.9599,81.2093,57.22,84,74,4.09
10,Victoria,22.2855,114.1577,81.32,94,96,1.01
11,Mataura,-46.1927,168.8643,40.48,79,67,3.22
12,Hargeysa,9.56,44.065,67.89,61,67,28.92
13,Barrow,71.2906,-156.7887,41.02,93,90,0.0
14,Atuona,-9.8,-139.0333,77.81,71,35,24.52
15,Yellowknife,62.456,-114.3525,70.29,67,38,8.99
16,Chernushka,56.5072,56.0766,65.52,69,95,3.22
17,Butaritari,3.0707,172.7902,81.99,76,100,12.62
18,Kichmengskiy Gorodok,59.9816,45.7854,59.18,99,72,4.7
19,Luderitz,-26.6481,15.1594,56.93,85,5,12.26
20,Chicama,-7.8447,-79.1469,67.35,75,8,6.73
21,Carutapera,-1.195,-46.02,76.78,86,7,6.26
22,Clyde River,70.4692,-68.5914,37.47,76,100,5.57
23,High Level,58.5169,-117.136,69.84,59,90,5.46
24,Busselton,-33.65,115.3333,54.05,82,95,14.45
25,Ahipara,-35.1667,173.1667,59.04,64,41,5.32
26,Koygorodok,60.445,50.9968,66.72,68,99,4.45
27,Vaini,-21.2,-175.2,75.92,83,3,11.32
28,Rikitea,-23.1203,-134.9692,70.95,66,99,25.28
29,Cape Town,-33.9258,18.4232,53.89,90,75,1.99
30,Karatuzskoye,53.6072,92.8667,57.96,94,73,1.21
31,Dikson,73.5069,80.5464,39.45,78,0,7.11
32,Kushima,31.4583,131.2333,79.21,88,100,11.59
33,Maniitsoq,65.4167,-52.9,42.28,92,100,20.6
34,Udachnyy,66.4167,112.4,60.44,74,15,3.18
35,Payo,-3.7508,103.6372,71.64,98,84,0.89
36,Tuktoyaktuk,69.4541,-133.0374,62.2,59,92,1.72
37,Iqaluit,63.7506,-68.5145,38.59,81,91,2.93
38,Hilo,19.7297,-155.09,80.8,86,79,8.86
39,Mundi,22.0667,76.5,78.4,84,100,14.32
40,Constitucion,-35.3333,-72.4167,53.96,68,17,7.54
41,Jamestown,42.097,-79.2353,79.92,65,1,3.0
42,Santa Cruz Do Rio Pardo,-22.8989,-49.6325,50.9,46,100,3.49
43,Bowmore,34.9421,-79.3031,77.22,88,75,3.0
44,Troitsko-Pechorsk,62.7084,56.1964,56.97,73,49,6.11
45,East London,-33.0153,27.9116,61.39,79,2,12.39
46,Mersing,2.4312,103.8405,77.5,87,99,4.45
47,Kosh-Agach,50.0,88.6667,47.7,77,97,1.14
48,Salalah,17.0151,54.0924,77.68,95,100,9.04
49,Bandarbeyla,9.4942,50.8122,77.45,76,79,29.57
50,Ostersund,63.1792,14.6357,51.62,81,75,17.27
51,Avarua,-21.2078,-159.775,78.85,78,75,11.5
52,Manaure,11.7751,-72.4445,86.65,60,1,23.94
53,Avera,33.194,-82.5271,81.68,86,100,3.22
54,Bengkulu,-3.8004,102.2655,74.53,90,75,5.75
55,Punta Arenas,-53.15,-70.9167,39.11,80,48,16.04
56,Mar Del Plata,-38.0023,-57.5575,51.1,66,42,1.01
57,Petatlan,17.5167,-101.2667,88.34,59,9,4.79
58,Birao,10.2849,22.7882,71.17,93,34,5.03
59,Kapaa,22.0752,-159.319,84.52,69,90,5.01
60,Bodden Town,19.2833,-81.25,88.0,76,20,3.0
61,Riyadh,24.6877,46.7219,93.7,42,95,2.91
62,Port Alfred,-33.5906,26.891,60.1,85,53,11.12
63,Gondar,12.6,37.4667,56.91,93,100,4.32
64,Donegal,54.65,-8.1167,60.12,95,16,5.1
65,Albany,42.6001,-73.9662,76.75,81,83,1.19
66,Hithadhoo,-0.6,73.0833,81.5,72,96,4.34
67,Arraial Do Cabo,-22.9661,-42.0278,67.05,55,24,24.63
68,Faya,18.3851,42.4509,64.76,73,99,2.24
69,Yazoo City,32.8551,-90.4056,83.14,90,100,5.06
70,Tura,25.5198,90.2201,73.74,98,100,3.69
71,Port Elizabeth,-33.918,25.5701,55.09,88,100,8.21
72,Ottawa,45.4112,-75.6981,81.03,66,75,5.99
73,Ketchikan,55.3422,-131.6461,64.92,64,89,2.59
74,Irece,-11.3042,-41.8558,74.48,40,1,10.65
75,Galesong,-5.3166,119.3661,71.62,74,24,2.15
76,Madimba,-10.4,40.3333,69.8,90,20,9.89
77,Chokurdakh,70.6333,147.9167,57.36,50,100,5.73
78,Bredasdorp,-34.5322,20.0403,49.28,88,100,2.77
79,Bethel,41.3712,-73.414,79.88,80,77,4.34
80,Saint Anthony,45.0205,-93.218,88.86,42,1,1.99
81,Alofi,-19.0595,-169.9187,77.13,74,13,15.79
82,Bambous Virieux,-20.3428,57.7575,70.21,66,29,19.77
83,Thompson,55.7435,-97.8558,76.84,25,31,2.62
84,Saint-Georges,12.0564,-61.7485,80.02,82,75,17.07
85,Margate,51.3813,1.3862,65.17,91,3,8.9
86,Geraldton,-28.7667,114.6,56.12,94,90,12.66
87,Tiksi,71.6872,128.8694,55.31,88,100,10.58
88,Lebu,-37.6167,-73.65,52.57,90,94,12.39
89,Ati,13.2154,18.3353,84.87,52,97,6.73
90,New Norfolk,-42.7826,147.0587,47.75,81,99,1.01
91,Saint-Philippe,-21.3585,55.7679,69.39,75,50,14.72
92,Touros,-5.1989,-35.4608,74.3,81,36,13.56
93,Kijang,35.2442,129.2139,80.13,78,100,5.82
94,Mildura,-34.2,142.15,49.06,79,83,16.26
95,Severo-Kurilsk,50.6789,156.125,50.94,96,97,8.32
96,Cabo San Lucas,22.8909,-109.9124,98.82,60,21,3.0
97,Butembo,0.15,29.2833,58.35,93,81,1.1
98,Kirakira,-10.4544,161.9205,84.27,63,100,7.96
99,Hasaki,35.7333,140.8333,81.28,79,7,7.2
100,Khandyga,62.6667,135.6,73.36,38,100,6.89
101,Pevek,69.7008,170.3133,37.35,85,18,5.91
102,Raudeberg,61.9875,5.1352,55.2,83,100,18.9
103,Shimoda,34.6667,138.95,80.71,78,14,2.01
104,Payson,40.0444,-111.7321,89.35,57,98,5.75
105,Katsuura,35.1333,140.3,84.31,76,4,3.78
106,Bluff,-46.6,168.3333,40.8,78,76,11.03
107,Georgetown,5.4112,100.3354,80.89,84,20,2.3
108,Airai,-8.9266,125.4092,59.61,73,13,3.27
109,Kahului,20.8947,-156.47,81.34,87,40,14.0
110,Makinsk,52.6292,70.4169,55.11,81,91,7.49
111,Ancud,-41.8697,-73.8203,46.22,99,100,8.08
112,Ripoll,42.2006,2.1903,75.06,66,33,3.89
113,Codrington,-38.2667,141.9667,48.9,83,100,28.32
114,Broome,42.2506,-75.833,79.63,80,1,1.99
115,Mpika,-11.8343,31.4529,50.99,68,5,5.3
116,Carnarvon,-24.8667,113.6333,66.97,85,10,11.86
117,Meulaboh,4.1363,96.1285,75.07,89,100,4.63
118,Bilibino,68.0546,166.4372,55.18,47,6,0.56
119,Katherine,-14.4667,132.2667,59.32,55,48,3.44
120,Mahebourg,-20.4081,57.7,70.25,66,18,19.73
121,Mount Gambier,-37.8333,140.7667,48.11,87,75,21.85
122,Ostrovnoy,68.0531,39.5131,49.59,83,66,14.58
